channelNumber;id;NavStatus;SlotOffset;SlotNumber;STO;SlotIncrement;KeepFlag;TS;Lat;Lon;Sog;thresholdSog;Course;Heading;ChangeHeading;RepeatIndicator;SpecialManoeuvre;AISVersion;toa;DiffToa
1;1;0;2219;-1;0;-1;-1;1795;48.200275;-4.494335;1.399999976158142;0;150.89999389648438;212;0;0;0;-1;562131.997070311;10.4983
2;1;0;-1;2164;2;-1;-1;2163;48.200226666666666;-4.494281666666667;1.2999999523162842;0;144.10000610351562;211;0;0;0;-1;562141.83706665;9.84
1;1;0;-1;-1;1;-1;-1;279;48.20019166666667;-4.494236666666667;1.2000000476837158;0;138.39999389648438;209;0;0;0;-1;562151.596984862;9.7599
2;1;0;-1;637;4;-1;-1;637;48.200158333333334;-4.4941716666666665;1.2000000476837158;0;130.10000610351562;208;0;0;0;-1;562161.116638183;9.5197
1;1;0;-1;1009;6;-1;-1;1009;48.20013;-4.4941;1.100000023841858;0;119.80000305175781;206;0;0;0;-1;562171.037719726;9.9211
2;1;0;-1;1383;4;-1;-1;1383;48.20010833333333;-4.494031666666666;1.2000000476837158;0;113.19999694824219;205;0;0;0;-1;562181.020050048;9.9823
1;1;0;-1;-1;5;-1;-1;1764;48.200086666666664;-4.493975;1.2000000476837158;0;109.5999984741211;203;0;0;0;-1;562191.178619384;10.1586
2;1;0;-1;-1;1;-1;-1;2163;48.200068333333334;-4.493905;1.100000023841858;0;107.80000305175781;201;0;0;0;-1;562201.837554931;10.6589
1;1;0;2243;-1;0;-1;-1;279;48.200055;-4.493836666666667;1.0;0;108.0999984741211;199;0;0;0;-1;562211.596923827;9.7594
2;1;0;-1;-1;3;-1;-1;637;48.20004333333333;-4.493776666666666;1.0;0;109.5999984741211;197;0;0;0;-1;562221.116760254;9.5198
1;1;0;-1;-1;5;-1;-1;1009;48.200025;-4.49371;1.0;0;114.4000015258789;195;0;0;0;-1;562231.037658691;9.9209
2;1;0;-1;-1;3;-1;-1;1383;48.20000666666667;-4.49364;1.0;0;117.0999984741211;194;0;0;0;-1;562241.019622802;9.982
1;1;0;-1;1764;4;-1;-1;1764;48.19998666666667;-4.493571666666667;1.0;0;117.0;192;0;0;0;-1;562251.178161621;10.1585
2;1;0;2263;-1;0;-1;-1;2163;48.19997166666667;-4.493483333333334;1.100000023841858;0;114.0999984741211;190;0;0;0;-1;562261.837707519;10.6595
1;1;0;-1;-1;3;-1;-1;273;48.199955;-4.49342;1.100000023841858;0;113.0999984741211;188;0;0;0;-1;562271.418823241;9.5811
2;1;0;-1;637;2;-1;-1;637;48.19994;-4.4933483333333335;1.100000023841858;0;110.69999694824219;187;0;0;0;-1;562281.116821289;9.698
